uf_abbr,cases_2024,hosp_2024,hosp_known_2024,deaths_2024,outcome_known_2024,cases_pre,hosp_pre,hosp_known_pre,deaths_pre,outcome_known_pre,H_2024,H_2024_lo,H_2024_hi,H_pre,H_pre_lo,H_pre_hi,H_change_pp,hosp_completeness_2024,hosp_completeness_pre,or_hosp_2024_vs_pre,or_lo,or_hi,p_fisher
RS,1310,461,1134,52,1173,1883,1317,1853,91,1694,0.40652557319223986,0.37777060749574676,0.4357667513828501,0.710739341608203,0.6895024965212128,0.7313070394151788,-30.42137684159631,0.8656488549618321,0.9840679766330324,0.2789116938135023,0.23794780720795394,0.32663993496782573,1.342791739608866e-60
SP,453,380,447,73,409,2233,1967,2200,319,2022,0.8501118568232662,0.8135937015578558,0.881912287605567,0.894090909090909,0.8804760261051982,0.9066454862988741,-4.397905226764287,0.9867549668874173,0.9852216748768473,0.6719428795423783,0.4980979703698847,0.9152876218102032,0.00883788907414701
PR,429,297,420,50,409,1538,1070,1511,121,1458,0.7071428571428572,0.6610769320679858,0.7502620791221997,0.7081403044341495,0.6844979115929688,0.7309709377611775,-0.09974472912923638,0.9790209790209791,0.982444733420026,0.9951928212565381,0.780452288041231,1.273683677390552,1.0
RJ,334,258,311,41,277,1099,874,1059,141,972,0.8295819935691319,0.783091573580257,0.8696623160556823,0.8253068932955618,0.8010710679237001,0.8477189096607823,0.42751002735700316,0.9311377245508982,0.9636032757051866,1.0303735240350078,0.730420342877542,1.4709759458461376,0.9321940950610454
PE,227,186,216,34,210,1272,976,1165,172,1171,0.8611111111111112,0.8077002784483243,0.904290508618211,0.8377682403433476,0.8153221197309355,0.8584935818953675,2.3342870767763535,0.9515418502202643,0.9158805031446541,1.2004625964694782,0.7848443235562864,1.886692292495117,0.4187076710642027
MG,162,120,159,14,148,936,668,914,73,858,0.7547169811320755,0.6802922982533415,0.8193969422607086,0.7308533916849015,0.7008394063568864,0.7593711718514884,2.386358944717404,0.9814814814814815,0.9764957264957265,1.1329891478264793,0.7586123055729965,1.7204948991591458,0.5607014843922175
SC,254,195,253,17,245,1092,772,1075,53,1022,0.7707509881422925,0.7139614945522942,0.8210767572989648,0.718139534883721,0.6902076481570429,0.7448717109724257,5.261145325857153,0.9960629921259843,0.9844322344322345,1.3193038787690823,0.9486101653626408,1.8547483667820466,0.09911235171502561
