onset_year,onset_month,notified,confirmed,hospitalised,hosp_known,deaths,outcome_known,lab_confirmed,crit_known,severe,sev_known,population,days_in_month,person_years,incidence_per_100k_py,incidence_lo,incidence_hi,confirmed_among_notified,confirmed_among_notified_lo,confirmed_among_notified_hi,H,H_lo,H_hi,lab_share,lab_share_lo,lab_share_hi,severe_share,severe_share_lo,severe_share_hi,cfr,cfr_lo,cfr_hi,hosp_completeness,outcome_completeness,criterion_completeness,H_worst_case_bound,month_start
2019,1,209,114,92,114,6,107,101,112,51,109,11194346,31.0,950101.9192334018,11.998712737258959,9.897458394550885,14.414119244863095,0.5454545454545454,0.4753228829714811,0.6142784556632317,0.8070175438596491,0.7225301777774428,0.8749285603078161,0.9017857142857143,0.8310606742334968,0.949944265542584,0.46788990825688076,0.37167601480306245,0.5658923073871278,0.056074766355140186,0.020853944066721718,0.11806157326441484,1.0,0.9385964912280702,0.9824561403508771,0.8070175438596491,2019-01-01
2019,2,224,114,83,113,1,108,90,113,43,111,11194346,28.0,858156.5722108145,13.284289101965276,10.957900365395625,15.95848916395557,0.5089285714285714,0.4414904634460618,0.5761272792085833,0.7345132743362832,0.6431756946490137,0.8131672504429407,0.7964601769911505,0.7104100697676028,0.8663810280647427,0.38738738738738737,0.29640937785291926,0.4845315026282293,0.009259259259259259,0.0002343966728090924,0.05051053365674625,0.9912280701754386,0.9473684210526315,0.9912280701754386,0.7368421052631579,2019-02-01
2019,3,210,85,64,84,4,78,77,85,31,85,11194346,31.0,950101.9192334018,8.946408619886066,7.146073450685813,11.062372803509641,0.40476190476190477,0.3377642560611861,0.4744880468586484,0.7619047619047619,0.6565105362606595,0.8480937199452168,0.9058823529411765,0.8229477775511406,0.9584848633199219,0.36470588235294116,0.2629357246414525,0.47619717846254156,0.05128205128205128,0.0141474308944862,0.12612763017828899,0.9882352941176471,0.9176470588235294,1.0,0.7647058823529411,2019-03-01
2019,4,169,55,37,54,2,53,47,55,27,53,11194346,30.0,919453.4702258727,5.981814390943428,4.506321234641698,7.786153654776307,0.3254437869822485,0.2554859292862927,0.4016501076339498,0.6851851851851852,0.5444760051271571,0.8047605889968085,0.8545454545454545,0.7333676840573415,0.9350485766689969,0.5094339622641509,0.36839539396820187,0.6493815602893603,0.03773584905660377,0.004603109274314916,0.1297583816630624,0.9818181818181818,0.9636363636363636,1.0,0.6909090909090909,2019-04-01
2019,5,232,97,76,94,4,89,85,97,49,94,11194346,31.0,950101.9192334018,10.209431013281746,8.279160791265449,12.454640027239485,0.41810344827586204,0.3538902342075063,0.48443693248657577,0.8085106382978723,0.7143536697685988,0.8823805098346013,0.8762886597938144,0.7938704093836051,0.934412561604836,0.5212765957446809,0.41573235264639036,0.6254437103865189,0.0449438202247191,0.012379577618021798,0.11109199724739906,0.9690721649484536,0.9175257731958762,1.0,0.8144329896907216,2019-05-01
2019,6,145,63,51,63,4,62,49,62,30,62,11194346,30.0,919453.4702258727,6.851896484171563,5.265185391447229,8.766552076538385,0.43448275862068964,0.3524510148890098,0.519246852452935,0.8095238095238095,0.6909115309144422,0.8975157564061429,0.7903225806451613,0.668179165710105,0.8833610342218976,0.4838709677419355,0.35497275682746027,0.6143608760259325,0.06451612903225806,0.017856697163650508,0.15702808403757407,1.0,0.9841269841269841,0.9841269841269841,0.8095238095238095,2019-06-01
2019,7,112,18,12,16,0,16,14,17,6,17,11194346,31.0,950101.9192334018,1.8945335900935198,1.122820674755299,2.994179854986643,0.16071428571428573,0.09812094558182918,0.24205412533063175,0.75,0.4762291801038728,0.9273379617471178,0.8235294117647058,0.565682127155716,0.962014931929374,0.35294117647058826,0.14209748311022097,0.6167163365565971,0.0,0.0,0.20590721420782268,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.7777777777777778,2019-07-01
2019,8,97,16,14,15,0,15,14,16,5,15,11194346,31.0,950101.9192334018,1.6840298578609063,0.9625685695930982,2.7347589844388014,0.16494845360824742,0.09732465135421861,0.25400118661665283,0.9333333333333333,0.6805154334216966,0.9983135697586473,0.875,0.6165237631507365,0.9844863961845861,0.3333333333333333,0.11824110336688096,0.6161962674588458,0.0,0.0,0.21801936091053403,0.9375,0.9375,1.0,0.9375,2019-08-01
2019,9,103,23,17,23,0,20,18,23,12,22,11194346,30.0,919453.4702258727,2.5014860180308878,1.58572755546433,3.7534572452431982,0.22330097087378642,0.1471281871520883,0.31598269781531585,0.7391304347826086,0.5159480295975618,0.8977138660846415,0.782608695652174,0.5629692737631854,0.9253965923511963,0.5454545454545454,0.3221047545531717,0.7561381340769835,0.0,0.0,0.16843347098308528,1.0,0.8695652173913043,1.0,0.7391304347826086,2019-09-01
2019,10,108,38,34,38,4,36,35,38,15,33,11194346,31.0,950101.9192334018,3.999570912419653,2.830334420005534,5.489723561588396,0.35185185185185186,0.26240641767118617,0.44964774187382456,0.8947368421052632,0.751950620782978,0.9705654825542123,0.9210526315789473,0.7862267088193818,0.9834135241354705,0.45454545454545453,0.2810661942938162,0.6364934689851531,0.1111111111111111,0.03111613994501524,0.2606109205108292,1.0,0.9473684210526315,1.0,0.8947368421052632,2019-10-01
