onset_year,confirmed,hospitalised,hosp_known,lab_confirmed,crit_known,deaths,outcome_known,H,H_lo,H_hi,lab_share,lab_share_lo,lab_share_hi,cfr,cfr_lo,cfr_hi
2019,698,535,688,590,692,28,653,0.7776162790697675,0.7446597158812646,0.8081706182041639,0.8526011560693642,0.8239663037349807,0.8781875486070022,0.042879019908116385,0.028678825115799427,0.06137819032890957
2020,214,150,213,177,210,7,200,0.704225352112676,0.6380359816685409,0.7646288020846993,0.8428571428571429,0.7864513462596355,0.8892940773345341,0.035,0.014185525898419248,0.0707809983509772
2021,195,124,190,160,192,15,171,0.6526315789473685,0.5803204681345464,0.7200956978958144,0.8333333333333334,0.7729407225088462,0.8831196010622874,0.08771929824561403,0.04992893478617911,0.1405513777824949
2022,294,210,285,259,284,16,256,0.7368421052631579,0.6816653096832255,0.7870194766433152,0.9119718309859155,0.8727966253694223,0.9422219704705882,0.0625,0.036142760789822495,0.0995135311004295
2023,482,298,477,385,469,25,414,0.6247379454926625,0.5795722978031113,0.6683467895121737,0.8208955223880597,0.7831364138232932,0.8545482425782917,0.06038647342995169,0.0394564784986177,0.08785437194275124
2024,1310,461,1134,753,1296,52,1173,0.40652557319223986,0.37777060749574676,0.4357667513828501,0.5810185185185185,0.5536121566865586,0.6080565769871493,0.0443307757885763,0.033282630651477296,0.05773021754636709
2025,331,204,319,248,326,20,290,0.6394984326018809,0.5841370985437411,0.6922421758060884,0.7607361963190185,0.7106374008678751,0.8060273168513672,0.06896551724137931,0.0426318022391428,0.10450416622921177
