q,H,cases,person_years,incidence_per_100k,incidence_lo,incidence_hi
1,0.41915085817524844,12664,236920404.0,5.345255109391085,5.252559516917304,5.439176009288953
2,0.6706794861436536,12771,376629531.0,3.3908652797594887,3.332307841485521,3.450193493183746
3,0.7441766418634747,12779,529824435.0,2.411931039005402,2.370291968777862,2.454118019811205
4,0.8445305415876679,12692,726671047.0,1.7465949761446873,1.7163394056058128,1.7772500388230155
5,0.9139496329043972,13008,1087508741.0,1.1961283169125352,1.1756604013344587,1.2168631625446698
