q,regions,H,cases,crit_known,criterion_completeness,lab_confirmed,share_lab,share_lab_lo,share_lab_hi
1,30,0.41915085817524844,12664,12573,0.9928142766898295,11057,0.8794241628887298,0.8736045038406297,0.8850675415236237
2,36,0.6706794861436536,12771,12623,0.9884112442251977,11554,0.9153133169611027,0.9103204833770933,0.9201136674220339
3,53,0.7441766418634747,12779,12616,0.9872446983332029,11133,0.8824508560558022,0.876702739628143,0.8880218763646375
4,50,0.8445305415876679,12692,12488,0.9839268830759533,9498,0.7605701473414478,0.752985427120024,0.7680332433742864
5,40,0.9139496329043972,13008,12830,0.9863161131611317,10820,0.843335931410756,0.8369296469386812,0.849586058240513
