q,H,H_within_lab,H_within_lab_lo,H_within_lab_hi,H_within_clinepi,H_within_clinepi_lo,H_within_clinepi_hi,cfr_ratio_clinepi_over_lab,cfr_ratio_lo,cfr_ratio_hi
1,0.41915085817524844,0.4317690209724443,0.42232702281656526,0.4412484046391374,0.32238193018480493,0.2984505258036694,0.34702959616614576,1.718729470503219,1.2754745632633453,2.2840287863115534
2,0.6706794861436536,0.6766424650256774,0.6679267767680636,0.685267013833099,0.5923970432946146,0.5603249920382638,0.6238926647898693,2.7452484742807326,2.296421874920458,3.265615624704702
3,0.7441766418634747,0.7603503918856616,0.7522010777545706,0.7683597051921416,0.6100950987564009,0.5836603246092182,0.6360554878496307,2.2923492554077916,1.9754304719427118,2.6521835293724463
4,0.8445305415876679,0.8587657018022938,0.8514630700826477,0.8658392305096029,0.8033022254127782,0.7880470231180261,0.8179174723895805,2.271799037598355,2.047795771222789,2.5191614695632034
5,0.9139496329043972,0.9122307619318721,0.9066665234508303,0.9175659851940087,0.9249617151607963,0.9123923256120037,0.9362403580959789,2.7461267355977164,2.4969546899010506,3.0179426661431865
