field,scope,cases,valid,completeness,completeness_lo,completeness_hi
cli_febre,national,63914,62425,0.9767030697499766,0.9755039255214911,0.9778586586587976
cli_febre,Q1,12664,12452,0.9832596336070751,0.9808712590318232,0.9854220133376489
cli_febre,Q2,12771,12572,0.984417821627124,0.982116789846343,0.9864940559136912
cli_febre,Q3,12779,12517,0.979497613271774,0.9768894468120176,0.9818840545137629
cli_febre,Q4,12692,12322,0.9708477781279546,0.967771426134036,0.9737056024069043
cli_febre,Q5,13008,12562,0.9657134071340714,0.9624419490892491,0.9687742868451156
cli_mialgi,national,63914,61830,0.9673936852645743,0.9659875670436683,0.9687571549715072
cli_mialgi,Q1,12664,12430,0.9815224257738471,0.9790236706934096,0.9837962375297253
cli_mialgi,Q2,12771,12507,0.979328165374677,0.9767092676010567,0.9817252941590046
cli_mialgi,Q3,12779,12436,0.9731590891306049,0.9702077519589165,0.9758921799892385
cli_mialgi,Q4,12692,12066,0.9506775921840529,0.946766324593831,0.9543805008691373
cli_mialgi,Q5,13008,12391,0.9525676506765067,0.9487738332270187,0.956157300377581
cli_cefale,national,63914,61102,0.9560033795412586,0.9543847513726765,0.9575804400174501
cli_cefale,Q1,12664,12404,0.9794693619709413,0.9768470217371367,0.9818679594398311
cli_cefale,Q2,12771,12429,0.9732205778717407,0.9702713745303616,0.9759513642360853
cli_cefale,Q3,12779,12361,0.9672900852961891,0.9640585619893679,0.970306422206984
cli_cefale,Q4,12692,11810,0.9305074062401513,0.9259445064142261,0.9348716722614715
cli_cefale,Q5,13008,12098,0.9300430504305043,0.9255242378698726,0.9343682972178362
cli_prost,national,63914,60073,0.9399036204900335,0.9380332006338236,0.941733975731309
cli_prost,Q1,12664,12249,0.9672299431459255,0.9639803645481608,0.9702623965503802
cli_prost,Q2,12771,12300,0.9631195677707306,0.9597044401343132,0.9663214906466994
cli_prost,Q3,12779,12241,0.9578996791611237,0.9542729492480392,0.9613159402689975
cli_prost,Q4,12692,11376,0.8963126378821304,0.8908783859940945,0.901564384203347
cli_prost,Q5,13008,11907,0.915359778597786,0.9104445790258677,0.9200881995413117
cli_vomito,national,63914,60829,0.9517320148950151,0.9500419250209302,0.9533809379003193
cli_vomito,Q1,12664,12308,0.9718888186986734,0.9688598422738486,0.9746982283261119
cli_vomito,Q2,12771,12371,0.9686790384464803,0.9655101057268279,0.9716319341806912
cli_vomito,Q3,12779,12328,0.9647077236090461,0.9613617724697049,0.967839803207483
cli_vomito,Q4,12692,11736,0.9246769618657422,0.9199481086245972,0.9292099540447877
cli_vomito,Q5,13008,12086,0.9291205412054121,0.9245753337466817,0.9334726113969202
cli_diarre,national,63914,60009,0.9389022749319398,0.9370176054350465,0.940746972728887
cli_diarre,Q1,12664,12240,0.9665192672141504,0.9632375991198374,0.9695841769514278
cli_diarre,Q2,12771,12292,0.9624931485396602,0.9590516210868861,0.9657217861041826
cli_diarre,Q3,12779,12236,0.9575084122388293,0.9538663586147501,0.9609401903536363
cli_diarre,Q4,12692,11390,0.8974156949259376,0.8920062190158266,0.9026421488979655
cli_diarre,Q5,13008,11851,0.9110547355473555,0.9060319649568271,0.9158927063045258
cli_icteri,national,63914,61011,0.9545795913258441,0.9529367137044586,0.9561810350702982
cli_icteri,Q1,12664,12238,0.9663613392293114,0.96307259170268,0.9694334097439394
