bin,regions,cases,person_years,H_median,cfr,cfr_lo,cfr_hi,sinan_incidence_per_100k,sinan_lo,sinan_hi,sih_admission_per_100k,sih_lo,sih_hi,sim_mortality_per_1m,sim_lo,sim_hi
1,20,11106,170137874.0,0.44698897043211044,0.026772103658536585,0.023768266475869007,0.030042188183851157,6.527647101079916,6.406802730772938,6.650198082899927,2.26463391684323,2.1936855553596923,2.3372926897064707,1.6751120329621612,1.4862598574930572,1.8813139274225739
2,28,10877,300862319.0,0.6666094584286804,0.07165323373304501,0.06671564701806564,0.07683765267682532,3.6152749324517437,3.5476488340568255,3.6838661532562673,1.9257978264802247,1.876526191692617,1.9760357359672107,2.2003420109249374,2.035898391248299,2.3745315467466606
3,45,11778,412939463.0,0.7454545454545455,0.0820134716912434,0.07694838211306869,0.08730135256290512,2.8522340573683556,2.8009531051126957,2.904218096720209,1.9203783388462439,1.87834147727593,1.9631187643827588,2.1262196488108476,1.9878871631630075,2.2716408671227772
4,36,10739,557842320.0,0.8518518518518519,0.13409458367016977,0.12743879631331698,0.14096650297434987,1.9250959661862872,1.8888562293224036,1.961856235389888,1.4262094708052984,1.395040683936318,1.4578990635042728,2.4684394687014786,2.33976778620809,2.602346703811579
5,36,11832,964446250.0,0.9186507936507936,0.1692425109711887,0.16210918719796036,0.17656007311434999,1.2268179797474457,1.204810911055468,1.2491260816492864,0.860182721432117,0.841771207847508,0.8788954491637659,1.8155495964653292,1.7314978666782128,1.902626528841964
