min_hosp_known,regions,cases,cfr_Q1,cfr_Q5,cfr_ratio_Q5_Q1,incidence_Q1,incidence_Q5,incidence_ratio_Q1_Q5,sim_Q1_per_1m,sim_Q5_per_1m,sim_ratio_Q1_Q5,sim_min_per_1m,sim_max_per_1m
0,425,60046,0.028054298642533938,0.1668296151453204,5.946668539857389,3.489819025302566,0.9737014726732799,3.584074917460411,0.9704691651016264,1.4419818112809957,0.6730106839832485,0.9704691651016264,1.9967803797001515
10,264,58962,0.02701702442635085,0.16727075027183763,6.191309140198703,5.496597522997107,1.1111427668375715,4.946796835694659,1.4128341246381793,1.64623657336812,0.8582205908277141,1.4128341246381793,2.13480980312522
20,204,57664,0.026701767581797667,0.16838296688004453,6.306060689211809,5.99969486443449,1.1765328832435402,5.099470613939962,1.530316766879398,1.7378839083460784,0.880563287070067,1.530316766879398,2.2766611647678574
30,165,56332,0.026772103658536585,0.1692425109711887,6.321599271009241,6.527647101079916,1.2268179797474457,5.320795104766646,1.675112032962161,1.8155495964653292,0.9226473549515891,1.675112032962161,2.468439468701478
50,128,54212,0.026521216973578864,0.17126527394560503,6.457670253828247,6.611272508268433,1.2742523068948823,5.188354356900388,1.7056108436564752,1.8993614109933323,0.8979917322656729,1.7056108436564752,2.942031463962368
