bin,deaths,sim_deaths,person_years,cases,sim_per_sinan_death,sinan_death_rate_per_1m,sim_death_rate_per_1m
1,310,326,335919998,11723,1.0516129032258064,0.9228387766303809,0.9704691651016264
2,797,743,428473788,12170,0.9322459222082811,1.8600904473531061,1.7340617344835105
3,950,903,636082417,12095,0.9505263157894737,1.4935171521963324,1.4196273562455666
4,1392,1444,723164157,11343,1.0373563218390804,1.9248741610405893,1.9967803797001515
5,1877,1883,1305841714,12715,1.0031965903036761,1.4373870736985814,1.4419818112809957
