health_region_code,n_pairs,rho
12002,18,0.7795561183416189
12003,12,0.4982995306193512
13001,18,0.3706763529597896
15006,18,0.1496388028895769
15008,6,0.33806170189140666
16001,16,0.3384842711805246
16003,11,-0.23234684426488467
21016,8,-0.12198750911856665
23001,18,-0.052631578947368425
25001,6,0.3142857142857143
26010,18,0.3869969040247678
27001,18,0.32714138286893707
28001,11,0.23636363636363636
28006,8,0.5748606057183643
29020,18,-0.0629514963880289
31016,18,0.06608157824352795
32002,18,0.5459236326109391
32004,11,0.17272727272727276
33004,14,0.34103430977743227
33005,18,0.04231166150670795
33006,15,-0.1357142857142857
33007,6,-0.2571428571428572
33008,4,0.39999999999999997
33009,15,-0.06071428571428571
35011,18,-0.06914344685242517
35013,14,0.06373626373626373
35014,18,-0.060918954943252335
35015,18,0.2280701754385965
35016,18,0.18885448916408668
35041,18,-0.12074303405572755
35072,18,0.08771929824561403
35103,7,0.37435244296357284
35121,7,-0.36037498507822363
35163,16,0.26176470588235295
35171,12,0.22377622377622378
41001,14,0.4769230769230769
41002,18,0.29411764705882354
41003,8,0.38095238095238104
41007,7,-0.7363636363636364
41008,7,0.09009374626955591
41017,5,0.41039134083406165
42001,11,-0.47193990372426947
42004,13,0.2067351045509426
42005,14,0.5384615384615385
42006,18,0.15995872033023736
42007,18,0.04437564499484004
42010,5,-0.22360679774997894
42011,18,0.39339189548100234
42016,18,0.3582882976762403
42017,18,-0.019617968541047363
43001,14,-0.024202434887430676
43007,18,0.04850361197110423
43008,14,0.3538461538461538
43009,12,-0.19614741113473694
43010,18,0.3106295149638803
43013,6,-0.39279220242478635
43014,10,0.22226033597299086
43017,8,0.15958430024557682
43021,12,0.053389235423501914
43028,18,0.06711410290358308
43029,6,0.2
43030,11,0.6560381485126154
53001,12,0.6293706293706295
