term,model,or_per_10pp_H,or_lo,or_hi,p_value,region_years,regions,deaths
lag 0 (contemporaneous),one at a time,1.2258386166644195,1.1423350914208923,1.315446164081881,1.541342461696747e-8,747,66,3853
lag +1 (H one year earlier),one at a time,1.0942880654435738,0.9964230346687704,1.2017650420639858,0.05943000189870804,747,66,3853
"lag -1 (H one year later, a lead)",one at a time,1.1145342747975076,1.0262382590467973,1.21042714861575,0.010024037682914528,747,66,3853
lag 0 (contemporaneous),all three jointly,1.2092879894932647,1.1361815716335595,1.2870983635389461,2.332180708803522e-9,747,66,3853
lag +1 (H one year earlier),all three jointly,1.023885392917832,0.9629223180539174,1.0887080693583042,0.4510618656635511,747,66,3853
"lag -1 (H one year later, a lead)",all three jointly,1.0242383549515441,0.9670348828130902,1.0848256111528602,0.41406039592566046,747,66,3853
