min_denominator,within_variance_of_H_observed,within_variance_of_H_binomial_noise,reliability_ratio_lambda,observed_or_per_10pp,attenuation_corrected_or_per_10pp,corrected_or_lo,corrected_or_hi
5,0.017921766809697696,0.0057168055980656605,0.6810132807345632,1.2107237781100202,1.324168936278013,1.2386003507438839,1.4156490192745106
10,0.015954905912935236,0.00400568116174898,0.7489373372925111,1.2173120196406872,1.300261734890691,1.2077285010271641,1.3998846411118382
20,0.014325648048639556,0.0026255985812537034,0.8167204323086071,1.2355792506119696,1.2956485535229276,1.1918574756081886,1.408478118064775
30,0.012837972254571416,0.0020245529340284607,0.8422996331599372,1.2355120718295332,1.2854143253447678,1.1637154038483686,1.4198402653582447
