stratum,cases,person_years,incidence_per_100k,incidence_lo,incidence_hi,cfr,cfr_lo,cfr_hi,H,H_lo,H_hi,share_lab,share_lab_lo,share_lab_hi,share_severe,share_severe_lo,share_severe_hi,outcome_completeness,hosp_completeness,severity_completeness,deaths,outcome_known
Norte,10216,328737880.0,3.1076430863397917,3.047670380038909,3.1684991675839167,0.054499895594069744,0.0500376337730824,0.059235437826428795,0.5130354769450977,0.5030761594804818,0.5229870281729948,0.839294511774559,0.8320029817714855,0.846390784233147,0.4655117099775425,0.4553602555224927,0.4756846600810386,0.937548942834769,0.9574197337509789,0.9153288958496476,522,9578
Nordeste,11212,1043228895.0,1.0747401700371806,1.0549376692465824,1.0948209940812563,0.1422676360778149,0.13553506506543295,0.14920558080985782,0.8706025449101796,0.8640915471154456,0.8769109013703047,0.7237130339539978,0.7152356072802135,0.7320714247464801,0.69803250641574,0.6886134539607567,0.7073280697187148,0.907777381377096,0.9532643596146986,0.8341063146628612,1448,10178
Centro-Oeste,1108,295470808.0,0.37499474398161187,0.35323680872767865,0.3977421574811006,0.11099252934898612,0.09159349901444934,0.13287420534714603,0.8576709796672828,0.8354189472012619,0.8779564963233132,0.9249304911955515,0.9075568536575386,0.9399400774361447,0.6442307692307693,0.6126103437312567,0.6749402030948177,0.8456678700361011,0.9765342960288809,0.8447653429602888,104,937
Sudeste,21643,1620665993.0,1.3354386464256487,1.3177056303872166,1.3533506605337524,0.13306596740192297,0.1283219849335999,0.13791993078194997,0.7668187274909964,0.7610145662538934,0.7725483171345989,0.8778950317519612,0.8734353584312942,0.8822518495985241,0.6022787493375729,0.5952537955006104,0.6092721725820823,0.898627731830153,0.9622048699348519,0.8718754331654577,2588,19449
Sul,22179,556841872.0,3.982997887773784,3.9307493747584674,4.035767352994539,0.061730760021071786,0.05850372708606743,0.06508045915541756,0.6939010356731876,0.6877239624274876,0.7000261905518512,0.9090867559047924,0.9052009033354914,0.9128635730655322,0.46860607199924803,0.4618823065114343,0.4753384171779824,0.9414761711528924,0.9795301862121827,0.9593759862933405,1289,20881
Brasil,66358,3844945448.0,1.7258502337014172,1.7127436806229865,1.7390321612716038,0.09752060698425184,0.09517779901336403,0.09990176910815285,0.7222196221587807,0.7187344383438938,0.7256846791375929,0.8573195498480661,0.8546174264736159,0.8599899709334038,0.5489487681268503,0.5449494814959099,0.552943302450014,0.9196027607824226,0.9659875222279153,0.9009765212935893,5951,61023
