bin,regions,cases,H_median,H_min,H_max,cfr_overall,cfr_overall_lo,cfr_overall_hi,cfr_hosp,cfr_hosp_lo,cfr_hosp_hi,cfr_nonhosp,cfr_nonhosp_lo,cfr_nonhosp_hi
1,24,12504,0.5268018018018018,0.21577946768060838,0.6180555555555556,0.026536668079694785,0.023711039734395978,0.02959909727780134,0.06275260582854712,0.0559869425147758,0.07006737461500105,0.0011988610819721264,0.0005177207168919178,0.0023608603367785814
2,30,12430,0.674342105263158,0.6197636949516648,0.7076923076923077,0.07256530012108632,0.06790146181322379,0.0774456943941533,0.10386345594072506,0.09707301281521022,0.11096109058117253,0.011323806956052845,0.008173055466115903,0.01527597463361518
3,44,12460,0.7449770031469378,0.7093023255813954,0.7894736842105263,0.08702368692070031,0.08196645756836997,0.09228832606160908,0.11628183765770055,0.10950185063143704,0.12332917550553293,0.007211538461538462,0.004469436379841807,0.011002582273860443
4,44,12474,0.8441295546558705,0.7894736842105263,0.8823529411764706,0.13280501611077244,0.12664806552004104,0.13914876404846893,0.14967948717948718,0.1425084950888007,0.1570692150091696,0.04026442307692308,0.0313381347181654,0.05085475306643057
5,34,12812,0.9271780303030304,0.8889200561009818,0.9722222222222222,0.17279151943462898,0.16586760033742556,0.17988414242480613,0.18616550231230936,0.1786394965685114,0.193871772376132,0.030303030303030304,0.020228622536330072,0.04350002965216762
