measure,rho_eligible,p_eligible,n_regions_eligible,rho_all_regions,p_all_regions,n_regions_all,shares_denominator_with_H
outcome (evolucao),-0.18138035307742348,0.00842235518143442,210,-0.045936445381077565,0.3414023013737445,431,false
hospitalisation (ate_hosp),0.16417096451223362,0.01726378012973423,210,0.1456575535847855,0.0024347929206152063,431,true
severity block (all three decoded),-0.27902619723438205,0.000041121317358370135,210,-0.1078551735471763,0.025145227090452155,431,false
jaundice (cli_icteri),-0.05342533074425627,0.44121936276248325,210,0.015123618572336512,0.7542194497465302,431,false
renal impairment (cli_renal),-0.23105364481773993,0.0007406486229033858,210,-0.05847529045559032,0.22570769745406072,431,false
haemorrhage (cli_hemorr),-0.25296933356273343,0.00021186830818088536,210,-0.073708862542117,0.12654464192890003,431,false
confirmation criterion (criterio),-0.16609295699248544,0.015982800615498977,210,-0.012467847389041985,0.7963316046963814,431,false
