measure,denominator_confirmed_cases,valid,missing,unknown,invalid,pct_valid,pct_valid_lo,pct_valid_hi
outcome (evolucao),66358,61023,2750,2585,0,91.96027607824226,91.7508008918993,92.1660733620294
hospitalisation (ate_hosp),66358,64101,1501,756,0,96.59875222279153,96.45803188249995,96.73537831268155
severity block (all three decoded),66358,59787,3176,3395,0,90.09765212935893,89.86788001339185,90.32391111590769
jaundice (cli_icteri),66358,63338,1793,1227,0,95.4489285391362,95.28759753422497,95.60627004397408
renal impairment (cli_renal),66358,61423,2503,2432,0,92.56306700021098,92.36082028677383,92.76158232562744
haemorrhage (cli_hemorr),66358,60957,2874,2527,0,91.86081557611743,91.65018171916475,92.06778034671434
confirmation criterion (criterio),66358,65489,869,0,0,98.69043672202297,98.60102399776547,98.77555325743282
