scenario,q_low_cfr_pct,q_low_lo,q_low_hi,q_low_denominator,q_high_cfr_pct,q_high_lo,q_high_hi,q_high_denominator,ratio_high_over_low,ordering_preserved,intervals_disjoint
observed,2.6703499079189688,2.3886467000029414,2.975421584652822,11946,17.2212543554007,16.534608013086626,17.92456464062657,11480,6.449062837919019,true,true
"adversarial: broad band all died, narrow band all survived",8.188566013897661,7.71672085417446,8.679729393055586,12664,15.198339483394834,14.585391211577662,15.826900532951024,13008,1.8560440811736953,true,true
"favourable: broad band all survived, narrow band all died",2.5189513581806695,2.2530404717417682,2.806976156879758,12664,26.944956949569494,26.18389637946134,27.716344425847893,13008,10.696894508130033,true,true
