health_region_code,id_space,u_model_A,u_model_B,or_A,or_B
11001,1,-0.123134251896563,0.431160202194063,0.884144956455499,1.53904208812763
11002,2,-0.77010183205263,-0.46887463411956,0.462965921140675,0.625706020425676
11003,3,-0.822780726740637,-0.205235886291084,0.439208635655579,0.814455174940065
11004,4,-0.606423497274661,-0.228725293349768,0.545297644186648,0.79554704555435
11005,5,-0.697775679153606,-0.397186727976762,0.497691098199503,0.672208493780862
11006,6,-0.0826647035535614,0.0678172206259212,0.92065978942969,1.07016968565611
11007,7,-0.334240663359707,-0.0608940909430985,0.71588147505309,0.940922886754711
12001,8,-2.62835179982227,-1.71227152267772,0.07219735992972,0.180455418131499
12002,9,-1.99089735393926,-1.04818242028114,0.136572816287155,0.350574367243647
12003,10,-2.20036112342034,-1.0968265456791,0.110763151970859,0.333929112792512
13001,11,0.407778755467193,0.315393524141444,1.50347448885963,1.37079864718985
13002,12,0.0628298506778432,-0.0218633870889072,1.06484564105234,0.978373884426376
13003,13,-0.0899895572545522,0.0199722180384186,0.913940729271786,1.02017299722603
13004,14,0.168615188095458,0.0142874040505836,1.18366456305923,1.01438995683011
13005,15,0.305225931840004,0.132092758611829,1.35693154241655,1.14121417180017
13006,16,-0.752491418756431,-0.434315985835455,0.471191154664004,0.647707556732656
13007,17,-1.09848426520896,-0.668782222776358,0.333376010551501,0.512332104418922
13008,18,-0.0876763829652361,-0.0653791662556518,0.916057280500873,0.936712226367221
13009,19,0.143226550633361,0.0634848084450613,1.15399120949324,1.06554329841895
14001,20,0.0703214399224162,0.0744786100519768,1.07285298361444,1.07732229940781
14002,21,0.00587200627710512,0.000141199678717197,1.00588928030047,1.00014120964786
15001,22,-0.353455783376916,-0.25639098241064,0.702257043336576,0.773839352061877
15002,23,0.470568449139579,0.403973980660346,1.60090396709542,1.49776497559551
15003,24,0.030391651280582,0.0533339471788545,1.03085819183272,1.05478182772657
15004,25,0.398402506981884,0.377459786574233,1.48944342064564,1.45857478832599
15006,26,0.733297307848172,0.596985709914258,2.08193408004213,1.81663467527979
15007,27,0.581860743160938,0.430852237997948,1.78936488342251,1.53856819124356
15008,28,-0.557001067757013,0.207267751583593,0.572924652308876,1.23031194565536
15009,29,0.951807272561586,0.700841050752858,2.59038696674695,2.01544708813135
15010,30,0.446217236291439,0.315125033319206,1.5623908376619,1.37043064973812
15011,31,0.922151314994199,0.944592038599108,2.51469447483716,2.57176398410894
15012,32,0.524704497422487,0.492682194732976,1.68995938723188,1.63670028675522
15013,33,-0.189400343019579,0.00124825185538055,0.827455174472773,1.00124903124599
15014,34,0.801153547060838,0.750898802907772,2.22810967599002,2.11890363774531
16001,35,-0.70661580878791,-0.309145980360046,0.493310833951139,0.734073601875529
16002,36,-0.273970866910579,-0.125285711285084,0.760354226405884,0.882244799276571
16003,37,-0.605820160929776,-0.325685613447169,0.54562674134232,0.722032148951363
17001,38,-0.429542927697507,-0.320501704211071,0.650806492373972,0.725784816417084
17002,39,-0.248279291183509,-0.141777834418733,0.780142026058509,0.867814033480095
17003,40,-0.217485324088812,-0.191488074972737,0.804539412182147,0.825729471894235
17004,41,-0.72358597030139,-0.452439938790824,0.485009902706578,0.636074274414039
17005,42,-0.302784436360076,-0.24001491343179,0.738758328641868,0.78661612983308
17006,43,-0.511592248771835,-0.361969824167935,0.599540201265616,0.696303379058587
17007,44,-0.195974954774865,-0.170751251055684,0.822032822417479,0.84303125052566
17008,45,-0.207538002452055,-0.191418136013011,0.812582361064113,0.825787224574073
21001,46,0.0888040300388272,0.139846620533784,1.09286646634064,1.15009738400551
21002,47,0.440800138712272,0.147272012905215,1.55395009683691,1.15866909311439
21003,48,0.0255118148001389,-0.0445543645276004,1.02584002629373,0.956423603162867
21004,49,0.0239399330078558,-0.0428316564013883,1.02422879369995,0.958072661891744
21005,50,-0.439463506864502,-0.456205739499645,0.644382034903494,0.633683449970187
21006,51,-0.0398262339276228,-0.121559880259659,0.960956406265736,0.885538025514317
21007,52,0.0892374119721649,-0.0653136730571165,1.09334019756856,0.936773576656024
21008,53,-0.118871203827529,-0.0801460440053279,0.887922154372574,0.922981540622052
21009,54,0.220636873391981,0.0285870497897838,1.24687057646428,1.02899958113315
21010,55,0.267414874225852,-0.00383533340787509,1.30658240126355,0.996172012089488
21011,56,1.31674379863314,0.909212999085652,3.73125186739544,2.48236813843569
21012,57,-0.414519839684947,-0.463356779820482,0.660657426036416,0.629168117971234
21013,58,0.610870153644484,0.320382002148739,1.84203355383015,1.37765393059294
21014,59,0.71332583539359,0.453139064553952,2.04076724041915,1.57324295363205
21015,60,-0.256003388186446,-0.321731335854929,0.774139345859366,0.724892916906496
21016,61,0.932386283816102,0.5738456789939,2.54056445778529,1.7750803313358
21017,62,-0.479917271759889,-0.50370836149488,0.618834584784678,0.60428559010637
21018,63,1.00037417638113,0.683717254249095,2.7192991356308,1.98122879203219
21019,64,0.919150328822756,0.69027455804259,2.50715922374009,1.9942629990295
22001,65,-0.378420312909504,-0.410145523652909,0.684942549959393,0.66355368035443
22002,66,-0.215463941206718,-0.223636425314287,0.806167339155453,0.799605797953888
22003,67,-0.193408772866677,-0.267275262689678,0.824145017153144,0.765462339240999
22004,68,-0.763164150454851,-0.742879531630373,0.466188998707534,0.475742027056055
22005,69,-0.188195833906832,-0.219955270702691,0.828452452265336,0.802554694867204
22009,73,-0.448578203269427,-0.449110686818905,0.63853537403317,0.638195454959427
23001,77,0.415271152146516,0.243573287521125,1.51478142124495,1.27579981462041
23011,78,-0.0343905829732187,-0.151369230457726,0.966194051983485,0.859530275304647
23023,79,-0.985874369431049,-0.793876331722282,0.37311284580191,0.452088947627997
23024,80,-0.492497611917544,-0.505798831930669,0.611098200413201,0.603023668410036
23025,81,-0.585590836504864,-0.606333229199912,0.556776800552216,0.545346869376851
24001,82,0.915566132546516,0.730550313598383,2.49818915782764,2.07622286702187
24002,83,0.405091045306014,0.183771402885955,1.49943901072593,1.20174107715237
24003,84,0.22053024651105,0.162757504426077,1.24673763363156,1.17675129810537
24004,85,0.114134003816194,0.119301285603182,1.12090232000903,1.12670932845572
24005,86,0.828600517392298,0.624228188696486,2.29011152531749,1.86680458039163
24006,87,-0.729038809010328,-0.660966901009675,0.482372419355657,0.516351831938204
24007,88,0.934611471114938,0.768758854050134,2.54622398396628,2.15708733145707
24008,89,-0.0204227780400914,0.00280278088140476,0.979784354421389,1.00280671234389
25001,90,0.576918104272538,0.573678580042647,1.78054251980354,1.77478374205461
25002,91,1.23501081355388,0.859682463630822,3.43841570199754,2.3624104233647
25003,92,1.06087514797568,0.699877663979444,2.88889809663143,2.01350636804626
25004,93,0.485936820188302,0.310941935685655,1.6256972817185,1.36470997793643
25005,94,0.479165630809267,0.28630930655322,1.61472656187818,1.33150423455138
25006,95,0.188449414312345,0.0596738696498599,1.20737600549631,1.06149030588351
25007,96,0.0754957002683412,-0.0643785503181318,1.07841859079753,0.937649984639487
25008,97,-0.258114917581814,-0.26129835739251,0.772506452432404,0.770051134889093
25009,98,-0.487335289032254,-0.480244386427054,0.614261043422746,0.618632188020726
25010,99,-0.416703607382359,-0.409775464456221,0.659216277829551,0.66379927993673
25012,101,1.00650090927117,0.676215029659873,2.73601069644263,1.96642078462403
25014,103,0.63622590078891,0.550190701562777,1.88933686190957,1.73358358344527
25015,104,0.714254417207415,0.440201112507911,2.0426631398775,1.55301951875679
25016,105,0.744778872965942,0.421998209229117,2.1059756953295,1.52500579374486
26001,106,0.531881964384417,0.284701295118438,1.70213264923386,1.3293648810302
26002,107,0.274101614855577,0.176108860516557,1.31534845439131,1.19256787513951
26003,108,0.502901042534488,0.317863615098723,1.65351122580632,1.37418882983855
26004,109,0.491360723626362,0.376056052997783,1.63453886306011,1.45652877428712
26005,110,0.0388046998551731,0.044937509485248,1.03956743615236,1.04596249513167
26006,111,0.661866211397488,0.506989508280761,1.93840643719927,1.6602853883437
26007,112,-0.0730984377772974,-0.179961403862925,0.929509326690077,0.83530245023699
26008,113,0.441199249752795,0.219006551185205,1.55457041925751,1.24483943183449
26009,114,-0.123513451654937,-0.154886629506147,0.883809752460296,0.856512275199132
26010,115,0.546955943810097,0.472438314953146,1.72798492054978,1.60390024313835
26011,116,-0.111328136211124,-0.160014163894175,0.894645135294037,0.852131719377239
26012,117,0.493287116967672,0.251604427114965,1.63769066267022,1.28608719542715
27001,118,0.523644016228943,0.342376982132428,1.68816816702941,1.40829109803788
27002,119,-0.0872736706066648,-0.0934822676409265,0.916426262380684,0.910754167102932
27003,120,0.543491324120378,0.337424145510694,1.72200846901458,1.40133330693796
27004,121,0.641880535587243,0.455743659181386,1.9000506345629,1.57734595478458
27005,122,0.320679108058561,0.129884363052773,1.37806330052751,1.13869670030082
27006,123,0.276161945919932,0.0742987831417619,1.31806130139416,1.07712858528543
27007,124,0.365495864763529,0.263884377019086,1.44122848541464,1.30197764906083
27008,125,0.282343711582125,0.15718289090446,1.32623448380935,1.17020961502579
27009,126,0.930338263145592,0.711545848531739,2.53536665368291,2.03713793256151
27010,127,0.989098481566405,0.659639175217362,2.68880936816562,1.93409433931306
28001,128,1.33884089152763,1.00715386264306,3.8146193841964,2.73779776722586
28002,129,0.956440951116918,0.672721841961234,2.60241783935677,1.95956369125865
