health_region_code,health_region_name,uf_abbr,region,cases,deaths,outcome_known,H,person_years
42004,ALTO VALE DO ITAJAI,SC,Sul,314,5,301,0.6057692307692307,5588794
42005,FOZ DO RIO ITAJAI,SC,Sul,649,34,613,0.4482758620689655,13183288
42006,MEDIO VALE DO ITAJAI,SC,Sul,955,20,917,0.4798728813559322,14352523
42007,GRANDE FLORIANOPOLIS,SC,Sul,1451,53,1382,0.6561624649859944,23003557
42008,MEIO OESTE,SC,Sul,59,2,59,0.864406779661017,3603501
42009,ALTO VALE DO RIO DO PEIXE,SC,Sul,54,3,54,0.7777777777777778,5428817
42010,ALTO URUGUAI CATARINENSE,SC,Sul,159,4,153,0.7987421383647799,2830426
42011,NORDESTE,SC,Sul,842,69,835,0.766109785202864,13635590
42012,PLANALTO NORTE,SC,Sul,125,5,123,0.717741935483871,7028482
42013,SERRA CATARINENSE,SC,Sul,50,0,44,0.66,5649006
42014,EXTREMO SUL CATARINENSE,SC,Sul,131,7,121,0.8515625,3886811
42015,CARBONIFERA,SC,Sul,194,10,183,0.6510416666666666,8129065
42016,LAGUNA,SC,Sul,414,9,394,0.7450980392156863,6947058
42017,VALE DO ITAPOCU,SC,Sul,931,17,923,0.6706263498920086,5606519
43001,REGIAO 01,RS,Sul,408,16,318,0.6776649746192893,8559454
43002,REGIAO 02,RS,Sul,51,2,42,0.6938775510204082,2363405
43003,REGIAO 03,RS,Sul,57,6,52,0.8070175438596491,8945914
43004,REGIAO 04,RS,Sul,52,0,48,0.5576923076923077,2952060
43005,REGIAO 05,RS,Sul,198,6,182,0.6822916666666666,4253734
43006,REGIAO 06 - VALE DO PARANHANA E COSTA SERRA,RS,Sul,211,11,189,0.5870646766169154,4156564
43007,REGIAO 07,RS,Sul,706,43,630,0.7068965517241379,14911857
43008,REGIAO 08,RS,Sul,635,61,572,0.7478559176672385,14331819
43009,REGIAO 09,RS,Sul,374,22,336,0.6638888888888889,7578461
43010,REGIAO 10,RS,Sul,1643,126,1548,0.7257853403141361,43316923
43011,REGIAO 11,RS,Sul,81,6,76,0.8148148148148148,5512049
43012,REGIAO 12,RS,Sul,31,0,27,0.967741935483871,2481851
43013,REGIAO 13,RS,Sul,241,5,226,0.7637130801687764,4374021
43014,REGIAO 14,RS,Sul,363,6,354,0.7401129943502824,4431682
43015,REGIAO 15 - CAMINHO DAS AGUAS,RS,Sul,98,0,87,0.7959183673469388,3649201
43016,REGIAO 16,RS,Sul,109,1,86,0.8130841121495327,4502048
43017,REGIAO 17 - PLANALTO,RS,Sul,195,6,175,0.8157894736842105,7721460
43018,REGIAO 18,RS,Sul,155,1,146,0.8421052631578947,2503996
43019,REGIAO 19,RS,Sul,37,1,30,0.7027027027027027,2209225
43020,REGIAO 20 - ROTA DA PRODUCAO,RS,Sul,60,2,52,0.85,3115466
43021,REGIAO 21,RS,Sul,674,13,558,0.5773353751914242,16208743
43022,REGIAO 22,RS,Sul,13,2,11,0.5384615384615384,3567128
43023,REGIAO 23,RS,Sul,194,18,179,0.7789473684210526,10752727
43024,REGIAO 24,RS,Sul,16,3,14,0.8125,1864389
43025,REGIAO 25,RS,Sul,116,8,110,0.7391304347826086,5682391
43026,REGIAO 26,RS,Sul,83,4,74,0.7407407407407407,3401670
43027,REGIAO 27,RS,Sul,187,8,172,0.6871508379888268,3805671
43028,REGIAO 28,RS,Sul,1381,36,1339,0.774217042971595,6475107
43029,REGIAO 29,RS,Sul,288,25,267,0.7446808510638298,4205233
43030,REGIAO 30,RS,Sul,333,18,317,0.7121212121212122,2342949
50009,BAIXO PANTANAL,MS,Centro-Oeste,25,3,21,0.92,4707623
50010,PANTANAL,MS,Centro-Oeste,8,0,8,0.875,2861479
50011,CENTRO,MS,Centro-Oeste,73,2,67,0.958904109589041,18921245
50012,CENTRO SUL,MS,Centro-Oeste,21,2,17,0.95,7576926
50013,LESTE,MS,Centro-Oeste,3,0,3,0.6666666666666666,3477710
50014,NORDESTE,MS,Centro-Oeste,4,0,2,0.75,2828911
50015,NORTE,MS,Centro-Oeste,6,0,5,0.8333333333333334,2180549
50016,SUDESTE,MS,Centro-Oeste,1,0,1,1.0,2129881
50017,SUL FRONTEIRA,MS,Centro-Oeste,7,0,6,0.7142857142857143,6134184
51001,ALTO TAPAJOS,MT,Centro-Oeste,7,1,6,0.5,2042416
51002,BAIXADA CUIABANA,MT,Centro-Oeste,35,4,27,0.9142857142857143,19180782
51003,ARAGUAIA XINGU,MT,Centro-Oeste,3,0,3,1.0,1573109
51004,CENTRO NORTE,MT,Centro-Oeste,3,0,3,0.6666666666666666,1719385
51005,GARCAS ARAGUAIA,MT,Centro-Oeste,3,0,2,1.0,2511466
51006,MEDIO ARAGUAIA,MT,Centro-Oeste,2,0,2,1.0,1913008
51007,MEDIO NORTE MATOGROSSENSE,MT,Centro-Oeste,31,4,30,0.5333333333333333,4418589
51008,NOROESTE MATOGROSSENSE,MT,Centro-Oeste,38,3,25,0.7428571428571429,2648046
51010,NORTE MATOGROSSENSE,MT,Centro-Oeste,6,0,5,0.8333333333333334,1323567
51011,OESTE MATOGROSSENSE,MT,Centro-Oeste,7,1,5,0.8571428571428571,3571077
51012,SUDOESTE MATOGROSSENSE,MT,Centro-Oeste,5,2,4,0.4,2245148
51013,SUL MATOGROSSENSE,MT,Centro-Oeste,20,1,15,0.9473684210526315,9864296
51014,TELES PIRES,MT,Centro-Oeste,18,2,16,0.7222222222222222,8223273
51015,VALE DO PEIXOTO,MT,Centro-Oeste,12,0,11,0.5454545454545454,1904686
51016,VALE DOS ARINOS,MT,Centro-Oeste,12,0,9,0.75,1028061
52001,CENTRAL,GO,Centro-Oeste,90,12,88,0.8651685393258427,34667048
52002,CENTRO SUL,GO,Centro-Oeste,46,2,35,0.8913043478260869,16701929
52003,ENTORNO NORTE,GO,Centro-Oeste,16,1,11,0.9375,4909692
52004,ENTORNO SUL,GO,Centro-Oeste,58,2,50,0.9473684210526315,16439479
52005,ESTRADA DE FERRO,GO,Centro-Oeste,21,2,20,0.8095238095238095,5680162
52006,NORDESTE I,GO,Centro-Oeste,4,0,2,0.75,824532
52007,NORDESTE II,GO,Centro-Oeste,5,0,2,0.6,1829694
52008,NORTE,GO,Centro-Oeste,4,0,4,1.0,2620288
52009,OESTE I,GO,Centro-Oeste,6,0,3,0.6666666666666666,2231267
52010,OESTE II,GO,Centro-Oeste,7,0,5,0.8571428571428571,2161160
52011,PIRINEUS,GO,Centro-Oeste,40,4,37,0.8461538461538461,9649506
52012,RIO VERMELHO,GO,Centro-Oeste,12,1,12,0.5833333333333334,3833843
52013,SAO PATRICIO I,GO,Centro-Oeste,14,2,13,0.7692307692307693,3192046
52015,SUDOESTE I,GO,Centro-Oeste,5,0,3,0.8,7933426
52016,SUDOESTE II,GO,Centro-Oeste,23,6,23,0.782608695652174,4208011
52017,SUL,GO,Centro-Oeste,12,1,10,0.9166666666666666,4769206
52018,SAO PATRICIO II,GO,Centro-Oeste,17,0,13,0.875,3251073
53001,DISTRITO FEDERAL,DF,Centro-Oeste,377,46,313,0.8961748633879781,53249809
