threshold,arm,health_regions,pct_of_health_regions,person_years,pct_of_person_years,cases,pct_of_cases,incidence_per_100k,incidence_lo,incidence_hi,deaths,outcome_known,regions_with_estimable_cfr,cfr_pct,cfr_lo_pct,cfr_hi_pct,hosp_known,H,H_lo,H_hi,outcome_completeness_pct
0,retained,439,100.0,3856326294.0,100.0,66358,100.0,1.7207568795007158,1.7076890066715182,1.7338999043753778,5951,61023,426,9.752060698425185,9.517779901336402,9.990176910815284,64101,0.7222196221587807,0.7187344383438938,0.7256846791375929,91.96027607824226
10,excluded,128,29.157175398633257,400068906.0,10.374353088909027,576,0.8680189276349498,0.14397519811249715,0.13245594787451884,0.15622804461821627,56,472,115,11.864406779661017,9.087892329415654,15.129138689417845,559,0.7889087656529516,0.7526998360450242,0.822030637726809,81.94444444444444
10,retained,311,70.84282460136674,3456257388.0,89.62564691109097,65782,99.13198107236505,1.9032726043029293,1.888755636359349,1.9178734237762267,5895,60551,311,9.735594787864775,9.500585788812554,9.974470762551027,63542,0.721632935696075,0.718130144369873,0.7251154765077021,92.04797665014746
20,excluded,189,43.05239179954442,684969292.0,17.76222341625327,1466,2.209228729015341,0.2140241930728772,0.20320732164526945,0.22526733250232278,125,1226,176,10.195758564437195,8.558213763745695,12.0269316571994,1428,0.761204481792717,0.7382171184282103,0.7831120540969588,83.62892223738062
20,retained,250,56.94760820045558,3171357002.0,82.23777658374672,64892,97.79077127098466,2.0461903203920655,2.0304768072394155,2.061995218739541,5826,59797,250,9.742963693830795,9.506404189175047,9.983438323410093,62673,0.7213313548098862,0.7178030857809583,0.7248391200803397,92.14849288047833
30,excluded,229,52.16400911161731,894272746.0,23.189758278270837,2414,3.637843214081196,0.2699400167116353,0.25927802846342435,0.2809278780051667,221,2083,216,10.609697551608258,9.319306584498865,12.012084727877061,2356,0.7843803056027164,0.7672135497079532,0.8008370170767898,86.28831814415908
30,retained,210,47.83599088838269,2962053548.0,76.81024172172916,63944,96.3621567859188,2.1587725867810676,2.1420723073910177,2.175570709748505,5730,58940,210,9.721750933152357,9.483719773096883,9.963756387788425,61745,0.7198477609523039,0.7162872570202062,0.7233875921110047,92.174402602277
50,excluded,271,61.73120728929385,1154497705.0,29.937759851811958,3972,5.985713855149341,0.34404572506274494,0.3334285949193977,0.35491489731395726,363,3485,258,10.416068866571019,9.421065052187606,11.478018694703142,3876,0.7889576883384933,0.7757671704512473,0.8017111053034066,87.73917421953676
50,retained,168,38.26879271070615,2701828589.0,70.06224014818804,62386,94.01428614485066,2.309028790871233,2.290944887175265,2.3272199636666087,5588,57538,168,9.711842608363169,9.47105359161996,9.956703997332733,60225,0.7179244499792445,0.7143116757614933,0.7215162144384758,92.22902574295514
