threshold,health_regions,cases,pct_of_national_person_years,cfr_Q1_pct,cfr_Q1_lo_pct,cfr_Q1_hi_pct,cfr_Q5_pct,cfr_Q5_lo_pct,cfr_Q5_hi_pct,cfr_gradient_Q5_over_Q1,H_median_Q1,H_median_Q5,spearman_H_vs_cfr,spearman_p
0,426,66350,99.3613908128491,2.778672680412371,2.4966527063837245,3.0831094157542682,17.033968516984256,16.36717500250593,17.71669937617584,6.130253713242798,0.5,0.9666666666666667,0.23709074763017407,7.426300445008636e-7
10,311,65782,89.62564691109097,2.7476090128059654,2.466308854552962,3.051485958218636,17.05556488165184,16.384101103882337,17.743164866860656,6.207420634507976,0.5435540069686411,0.9354838709677419,0.4136498623501288,2.7639694288367527e-14
20,250,64892,82.23777658374672,2.683569311820876,2.4034634539926643,2.9866441224079847,17.07977328483208,16.405301287922356,17.770496916096786,6.364573186016567,0.5378531073446328,0.9328582145536384,0.4617326467438363,1.3215276433548148e-14
30,210,63944,76.81024172172916,2.6703499079189688,2.3886467000029414,2.975421584652822,17.2212543554007,16.534608013086626,17.92456464062657,6.44906283791902,0.5268018018018018,0.928548644338118,0.5221328684736725,4.387957489681802e-16
50,168,62386,70.06224014818804,2.6459077760762293,2.363281344381392,2.952302186162231,17.32602049991009,16.62676487898074,18.042423318328044,6.54823295678274,0.4798728813559322,0.9272727272727272,0.5984051137496526,1.0718808771075402e-17
