band,person_years,sinan_incidence_per_100k,hospitalisation_share,sinan_hospitalised_rate_per_100k,sinan_hospitalised_lo,sinan_hospitalised_hi,sih_admission_rate_per_100k,sih_admission_lo,sih_admission_hi,sih_over_sinan_hospitalised,macro_region_standardised_hospitalised_rate,hospitals_per_million_py
1,214218183.7368421,5.4024358708114795,0.38589821135401364,2.084790339500913,2.024090061785745,2.1468485500550196,1.709005246957645,1.6540892773176283,1.7652798614618723,0.8197492163009404,1.8522090056502378,1.1763707244832737
2,348576919.6315789,3.098024967176191,0.6439485137512733,1.9949685731774451,1.9483523314467779,2.042418501121624,1.8523888520285825,1.807479244710625,1.8981322724604721,0.9285303422490653,1.5037433066545827,1.1503917138972615
3,416251410.7894737,3.068337948879567,0.7190729721265268,2.2063588883894414,2.161462786398767,2.2519527698252317,2.0007139397329343,1.9579721934431589,2.0441535882624664,0.9067944250871081,1.8222080638816696,1.0498462916225892
4,742045067.3157895,1.5012565261429316,0.8127468581687612,1.2201415249280163,1.1951367716362709,1.2455377085852883,1.0931950574570433,1.0695336481332642,1.1172479752798752,0.8959575878064945,1.2737836123106916,0.7964475825408193
5,937660482.1052631,1.266129929390288,0.8914252021563343,1.1286601282629225,1.1072579309497574,1.150372013249699,0.8607593211008265,0.8420818095429217,0.8797466673030593,0.7626381933289237,1.0773663067242596,0.46285410154597784
