band,n,deaths,icu,banded_by,cfr_pct,cfr_lo,cfr_hi,icu_pct,icu_lo,icu_hi
1,3661,153,329,home (residence),4.179186014750068,3.5541401191240634,4.878652994622446,8.98661567877629,8.079577243763532,9.959734755349537
2,6457,225,766,home (residence),3.4845903670435185,3.0506565613683807,3.9611634873922794,11.863094316245935,11.084006404150124,12.676806785744299
3,8328,597,1508,home (residence),7.168587896253602,6.623602291438692,7.743765021486336,18.107588856868396,17.285804988835466,18.951749311833797
4,8112,431,1045,home (residence),5.313116370808679,4.834984892559792,5.823660634650177,12.882149901380672,12.160407222471708,13.630670445873447
5,8071,741,1754,home (residence),9.18101846115723,8.559676680665671,9.83201077544255,21.732127369594846,20.836501704365393,22.648207995577152
1,3629,152,310,treatment,4.18848167539267,3.5600914641532504,4.891940341897279,8.542298153761367,7.652793193713993,9.499223568141673
2,6414,220,775,treatment,3.4299968818210167,2.9980856865559398,3.904893972286742,12.082943560960398,11.294880461123048,12.905660333983052
3,8355,601,1503,treatment,7.193297426690605,6.648290907837167,7.76837920689071,17.989228007181328,17.170913695863767,18.829929581491424
4,7922,428,977,treatment,5.4026760918959855,4.915024554499188,5.923453276287229,12.332744256500884,11.616317669746099,13.077006158295923
5,8277,741,1830,treatment,8.952519028633562,8.345946608157512,9.588165545639665,22.109459949256976,21.219347138945334,23.01924918060338
