age_band,cases,outcome_known,deaths,outcome_completeness,cfr_pct,cfr_lo_pct,cfr_hi_pct,cfp_ratio_vs_15_29,cfp_ratio_lo,cfp_ratio_hi
0-14,5458,4995,174,0.9151703920850128,3.4834834834834836,2.992322744988819,4.029927417550535,0.5429986856738449,0.4642060450039644,0.635165301737949
15-29,18543,17131,1099,0.923852666774524,6.415270562138812,6.052858734260018,6.7925633353078805,1.0,0.9222999649868792,1.0842459481327489
30-44,20028,18373,1563,0.9173656880367486,8.507048386218909,8.10751163412173,8.919773518355797,1.3260622921229857,1.2311125278295942,1.428335073228873
45-59,15601,14330,1826,0.9185308634061919,12.742498255408236,12.200661950806419,13.299510438478155,1.9862760474376568,1.8492853552232682,2.1334146866416064
60-69,4816,4444,844,0.9227574750830565,18.991899189918993,17.848099873467827,20.176595581660052,2.960420609849884,2.7234929609060443,3.2179595515856763
70+,1911,1750,445,0.9157509157509157,25.428571428571427,23.40235419276225,27.53749604946863,3.9637566619004287,3.5918244533743455,4.37420232494936
