H_quintile,cases,age_known,sex_known,H,outcome_completeness,n_0-14,pct_0-14,pct_0-14_lo,pct_0-14_hi,n_15-29,pct_15-29,pct_15-29_lo,pct_15-29_hi,n_30-44,pct_30-44,pct_30-44_lo,pct_30-44_hi,n_45-59,pct_45-59,pct_45-59_lo,pct_45-59_hi,n_60-69,pct_60-69,pct_60-69_lo,pct_60-69_hi,n_70+,pct_70+,pct_70+_lo,pct_70+_hi,n_60plus,pct_60plus,pct_60plus_lo,pct_60plus_hi,n_male,pct_male,pct_male_lo,pct_male_hi,age_mean,age_median,age_p90,age_p97_5
1,12664,12664,12664,0.41915085817524844,0.9433038534428301,1631,12.879027163613394,12.300258909780966,13.474913006893471,3882,30.653821857233098,29.851392572389486,31.465150667495422,3680,29.058749210360073,28.26891537915177,29.858217284380796,2504,19.772583701831962,19.081967274852175,20.477119306533954,685,5.409033480732786,5.021414470463846,5.817301890225659,282,2.2267845862286797,1.9768743069731616,2.498970374811174,967,7.635818066961465,7.179112422254611,8.112104147722887,8993,71.01231838281743,70.21340587971956,71.80156390189785,33.94926599969388,33.0,57.0,69.0
2,12771,12771,12770,0.6706794861436536,0.9288231148696265,1086,8.503641061780597,8.025450936952973,9.000838892758955,3361,26.317437945344924,25.555257965130814,27.09042395241478,3884,30.41265366846762,29.615412850632705,31.218829353451028,3158,24.7278991465038,23.98156002430115,25.485771183037237,934,7.313444522746848,6.867746082768147,7.77871053179609,348,2.7249236551562133,2.4494568337378575,3.022207197872181,1282,10.038368177903061,9.522412202423757,10.572615025624414,10528,82.44322631166797,81.77207878018598,83.09955362792661,37.39663505200411,37.0,60.0,70.0
3,12740,12740,12740,0.7440369949699821,0.9344583987441131,759,5.957613814756671,5.552768772797716,6.382720135281009,3376,26.499215070643643,25.73437987905533,27.274799364466972,3823,30.007849293563577,29.212761593590113,30.812078997851533,3278,25.729984301412873,24.97258746745664,26.49848279159872,1080,8.47723704866562,7.999161173613293,8.974379527514554,424,3.328100470957614,3.0234100218060336,3.654346652480447,1504,11.805337519623233,11.249879523189737,12.378308573020444,10430,81.86813186813187,81.18792849806638,82.53374474098453,38.81314958142474,38.0,61.0,71.0
4,12731,12730,12731,0.8443586161558058,0.9206660906448826,1098,8.625294579732914,8.143187368854015,9.126413840590143,3820,30.007855459544388,29.212455803316907,30.81240432115261,3772,29.630793401413985,28.83836907935966,30.432539707211347,2735,21.48468185388845,20.773865355300387,22.208557879075602,944,7.4155538098978795,6.966229134609348,7.884461060942158,361,2.8358208955223883,2.5543629815026248,3.139107611058655,1305,10.251374705420266,9.729664222371587,10.791335783633741,10425,81.88673317099993,81.20654850525713,82.55230841925756,36.259745098134104,35.0,60.0,70.0
5,12975,12975,12972,0.9138968027856916,0.8833140655105973,692,5.333333333333334,4.952906818854823,5.733947135700414,3505,27.01348747591522,26.250834698029713,27.786462679530217,4089,31.514450867052023,30.715444117511893,32.32175639215141,3291,25.36416184971098,24.617250050659106,26.122138229974855,982,7.568400770712909,7.119002017857129,8.036939392824676,416,3.2061657032755297,2.909728546880555,3.523826591484816,1398,10.77456647398844,10.246048151496797,11.320749802888848,10736,82.76287388220783,82.10171762191591,83.40929700727324,38.57205770060098,38.0,60.0,71.0
