H_quintile,regions,cases,outcome_known,deaths,H,crude_cfr_pct,crude_lo_pct,crude_hi_pct,std_cfr_pct,std_lo_pct,std_hi_pct,std_boot_lo_pct,std_boot_hi_pct,std_age_only_pct,std_age_only_lo_pct,std_age_only_hi_pct,expected_cfr_pct,expected_deaths,scfr_obs_over_exp,scfr_lo,scfr_hi,strata_used,weight_covered
1,30,12664,11946,319,0.41915085817524844,2.6703499079189688,2.3886467000029414,2.975421584652822,3.125023037971866,2.793584311573285,3.4877636216681265,2.794679089189254,3.4755375954557146,2.94901181903569,2.6369602600645194,3.2903369074426743,8.835284876493937,1055.4631313459656,0.3022369901193985,0.269976730236871,0.3372910185167984,12,1.0
2,36,12770,11861,848,0.6706794861436536,7.14948149397184,6.692146338361621,7.627977791287822,7.0889704218057865,6.641342706179758,7.561893750298856,6.655277523699871,7.557481019932835,7.116268359127723,6.6677222948372155,7.588521581158138,9.846082381111184,1167.8438312235976,0.7261244845653,0.6780683705146452,0.7766876046878158,12,1.0
3,52,12740,11905,1044,0.7440369949699821,8.76942461150777,8.26726237014676,9.291851027016907,8.353082763588116,7.876460952270907,8.85866083984671,7.863627865519973,8.850645953711965,8.386236428583578,7.908280775179255,8.890469690054433,10.222490391307256,1216.9874810851288,0.8578559896681236,0.8066015875864747,0.9115134570665313,12,1.0
4,51,12730,11721,1538,0.8443586161558058,13.121747291186757,12.515447061212503,13.746426257547864,13.285395405906034,12.679721137677694,13.916248008541821,12.684079800862463,13.886521202451085,13.293593738722667,12.689591869452707,13.921022892844734,9.657364826419961,1131.9397313046836,1.3587295837979712,1.2916649821876443,1.428373124110332,12,1.0
5,39,12972,11458,1969,0.9138968027856916,17.184499912724736,16.497792754882067,17.887921975050556,16.660543853804672,15.99910108502247,17.351417174474914,16.003943009120345,17.337311858850626,16.66149537835654,16.00272367970315,17.34707977395541,10.1466119468296,1162.5987968677355,1.6936195059764936,1.6196306947679218,1.770116766180094,12,1.0
